rang,repo,url,etoiles,forks,cree,pousse,langage,tier,score,axes,topics,description
1112,marichu-kt/marichu-kt,https://github.com/marichu-kt/marichu-kt,34,5,2025-03-28,2026-09-17,,A,9,AN,ascii-art automation bash cli-tools cplusplus cybersecurity data-analysis develo,README for the GitHub  Profile Overview
1113,tr4m0ryp/ios-26-activation-research,https://github.com/tr4m0ryp/ios-26-activation-research,35,2,2026-04-15,2026-07-11,C,A,9,AN,activation-lock apple apple-security apple-security-bounty bug-bounty bug-bounty,iOS 26.3 activation lock research -- 31 firmware vulnerabilities + VU#346053 BAA injection PoC
1114,cmu-sei/cert-uefi-parser,https://github.com/cmu-sei/cert-uefi-parser,36,2,2025-11-18,2026-08-27,Python,A,9,AN,uefi uefi-firmware uefi-utilities,"The CERT UEFI Parser is a Python-based tool for inspecting firmware ROM images, installers, and related files, especially those associated with UEFI"
1115,ubuntu-mate/mate-menu,https://github.com/ubuntu-mate/mate-menu,43,19,2017-06-28,2026-09-14,Python,A,9,MOD,launcher mate-desktop mate-menu menu,An Advanced Menu for the MATE Desktop
1116,liho98/lenovo-bios-logo-extraction-guide,https://github.com/liho98/lenovo-bios-logo-extraction-guide,47,7,2020-02-19,2020-03-01,,A,9,AN TOOL,,Guide to extract Lenovo Insyde Bios logo images
1117,cn0xroot/IFDA,https://github.com/cn0xroot/IFDA,48,10,2026-07-05,2026-08-25,Go,A,9,AN,analysis firmware ifda iot iot-security reverse-engineering,IoT Firmware Deep Analysis: Automated reverse engineering and vulnerability discovery for IoT firmware binaries.
1118,1rhino2/fnprint,https://github.com/1rhino2/fnprint,53,4,2026-08-19,2026-09-15,Rust,A,9,AN,binary-analysis binary-diffing binary-similarity capstone ctf-tools dynamic-anal,"match functions in binaries by what they do, not what their bytes look like. behavioral function fingerprinting via microexecution."
1119,chkndrp/fastboot-oem-extractor,https://github.com/chkndrp/fastboot-oem-extractor,57,4,2025-03-22,2026-07-14,Python,A,9,AN,abl android bootloader dhtb elf fastboot fbpk gbl little-kernel lk lk1st lk2nd m,"Extract hidden ""fastboot oem"" commands from firmware blobs"
1120,Ausdauersportler/IMAC-EFI-BOOT-SCREEN,https://github.com/Ausdauersportler/IMAC-EFI-BOOT-SCREEN,57,13,2022-03-11,2026-07-12,,A,9,VBIOS,,How to create an EFI boot screen vBIOS for Apple Late 2009 to Mid 2011 iMac systems using AMD MXM graphics cards
1121,NeverSight/NeverD,https://github.com/NeverSight/NeverD,64,13,2026-05-20,2026-09-17,C++,A,9,AN,ai analysis binary bpf c coff compiler decompiler elf evm lift linux llm llvm ma,"The AI-friendly binary analysis & decompilation engine — 1:1 lift, built on LLVM [WIP]"
1122,openwall-com-au/BootUnlock,https://github.com/openwall-com-au/BootUnlock,68,9,2018-08-16,2026-09-16,Shell,A,9,MOD,apfs boot macos osx unlock,A helper script that unlocks macOS'es encrypted APFS volumes before login
1123,nian0114/Charles-Crack,https://github.com/nian0114/Charles-Crack,78,499,2018-03-27,2018-03-25,Kotlin,A,9,CN,,Charles 破解工具
1124,NeverSight/NeverC,https://github.com/NeverSight/NeverC,82,11,2026-05-16,2026-09-17,C,A,9,AN,ai android c compiler driver evm ios kernel linux llm llvm macos obfuscation plu,"The AI-friendly C23 compiler for security research, built on LLVM [WIP]"
1125,ZX41R/awesome-reverse-engineering-and-malware-analysis,https://github.com/ZX41R/awesome-reverse-engineering-and-malware-analysis,90,15,2026-07-06,2026-08-29,Shell,A,9,AN,awesome-list binary-analysis binary-exploitation ctf cybersecurity dfir exploit-,"A verified map of reverse engineering and malware analysis. Disassemblers, unpacking, exploit dev, fuzzing, DFIR, and the deep-cut writeups other lists miss."
1126,bbcb/bbcp,https://github.com/bbcb/bbcp,92,15,2017-03-21,2026-09-17,C,A,9,VBIOS,blackbox-component-builder component-pascal freebsd linux netbsd oberon openbsd,"BlackBox Cross-Platform (Windows, GNU/Linux, OpenBSD, FreeBSD, NetBSD)"
1127,LongSoft/InsydeImageExtractor,https://github.com/LongSoft/InsydeImageExtractor,102,15,2014-04-21,2015-01-11,C,A,9,AN TOOL,,Utility for extracting UEFI image from InsydeFlasher executable file
1128,DavidClawson/OpenScope-2C53T,https://github.com/DavidClawson/OpenScope-2C53T,106,8,2026-03-21,2026-09-15,C,A,9,AN,arm-cortex-m4 at32f403a electronics embedded-c embedded-systems firmware fnirsi ,Open-source reverse engineering and firmware development for the FNIRSI 2C53T oscilloscope/multimeter/signal generator
1129,2460392754/uniapp-tools,https://github.com/2460392754/uniapp-tools,197,94,2019-06-01,2020-02-04,JavaScript,A,9,CN,uni-app uniapp,uniapp工具类
1130,Motianshi/distribute-tool,https://github.com/Motianshi/distribute-tool,216,116,2020-06-01,2022-12-10,Java,A,9,CN,,分布式工具
1131,hello-david/SwiftV2Ray,https://github.com/hello-david/SwiftV2Ray,286,162,2020-01-07,2020-04-16,Swift,A,9,CN,swift tun2socks v2ray,V2Ray-Core的iOS工具
1132,bluesabre/menulibre,https://github.com/bluesabre/menulibre,306,21,2020-06-10,2026-07-26,Python,A,9,MOD,,"MenuLibre is an advanced menu editor that provides modern features in a clean, easy-to-use interface."
1133,lis912/Evaluation_tools,https://github.com/lis912/Evaluation_tools,308,103,2018-11-08,2021-03-25,Shell,A,9,CN,,测评工具
1134,HangZhouCat/ReaverAPKTools,https://github.com/HangZhouCat/ReaverAPKTools,335,104,2019-01-02,2021-01-19,HTML,A,9,CN,,逆向APK工具
1135,TeamvisionCorp/TeamVision,https://github.com/TeamvisionCorp/TeamVision,407,144,2018-10-18,2023-01-14,JavaScript,A,9,CN,api apitest bug-tracker cd ci devops issue-management issue-tracker pipline proj,Teamvision软件工程协作工具
1136,Brucetg/Pentest-tools,https://github.com/Brucetg/Pentest-tools,409,161,2018-05-02,2018-05-02,Python,A,9,CN,,内网渗透工具
1137,Angey40/BaiduPCS-Go,https://github.com/Angey40/BaiduPCS-Go,430,3519,2017-12-13,2022-12-18,Go,A,9,CN,,百度网盘工具箱 - Go语言编写
1138,MeisApps/pcbu-desktop,https://github.com/MeisApps/pcbu-desktop,458,55,2024-06-22,2026-08-14,C++,A,9,MOD,,Desktop app for PC Bio Unlock
1139,TheMaxMur/RS-Key,https://github.com/TheMaxMur/RS-Key,495,48,2026-06-11,2026-09-15,Rust,A,9,AN,authenticator ccid cryptography embedded-rust fido fido-u2f fido2 firmware openg,"Turn a $5 Raspberry Pi RP2350 board into an open-source hardware passkey: WebAuthn/FIDO2 logins, ssh & git signing, OpenPGP, PIV, TOTP. Rust firmware, no_std."
1140,Civitasv/AMapPoi,https://github.com/Civitasv/AMapPoi,553,97,2021-04-20,2022-10-17,Java,A,9,CN,amap javafx poi,POI搜索工具、地理编码工具
1141,WuXiaolong/AndroidUtils,https://github.com/WuXiaolong/AndroidUtils,598,163,2016-05-20,2024-09-30,Java,A,9,CN,,Android常用工具类
1142,HuanHaiLiuXin/SnackbarUtils,https://github.com/HuanHaiLiuXin/SnackbarUtils,602,116,2016-11-06,2018-06-01,Java,A,9,CN,,Snackbar工具类
1143,dqzg12300/MikRom,https://github.com/dqzg12300/MikRom,663,234,2021-11-09,2024-03-12,Java,A,9,CN,,ROM逆向工具
1144,V-I-C-T-O-R/12306,https://github.com/V-I-C-T-O-R/12306,675,219,2019-01-11,2022-12-08,Python,A,9,CN,,12306买票小工具
1145,gongwalker/ApiManager,https://github.com/gongwalker/ApiManager,688,276,2015-06-29,2025-08-27,JavaScript,A,9,CN,,接口文档管理工具
1146,majinju/kettle-manager,https://github.com/majinju/kettle-manager,694,378,2016-08-04,2024-12-10,Java,A,9,CN,,专门为kettle这款优秀的ETL工具开发的web端管理工具。
1147,ztosec/secscan-authcheck,https://github.com/ztosec/secscan-authcheck,745,158,2019-08-31,2026-05-31,Java,A,9,CN,,越权检测工具
1148,Hicores/QTool,https://github.com/Hicores/QTool,840,166,2022-02-13,2024-02-09,Java,A,9,CN,,QQ工具模块
1149,lemoex/oci-help,https://github.com/lemoex/oci-help,911,274,2021-10-18,2025-07-01,Go,A,9,CN,,甲骨文实例管理工具
1150,forJrking/FontZip,https://github.com/forJrking/FontZip,916,114,2016-07-20,2017-06-23,Java,A,9,CN,,字体提取工具（APP瘦身神器、APK压缩工具）
1151,ghealer/GUI_Tools,https://github.com/ghealer/GUI_Tools,918,153,2021-09-06,2023-04-03,Python,A,9,CN,,一个由各种图形化渗透工具组成的工具集
1152,lan-tianxiang/jd_shell,https://github.com/lan-tianxiang/jd_shell,935,311,2021-01-30,2021-07-07,JavaScript,A,9,CN,docker jd jd-base jd-scripts linux loon lxk0301 scripts,Node网页开发工具
1153,o2team/athena,https://github.com/o2team/athena,977,140,2015-09-02,2018-11-08,JavaScript,A,9,CN,athena build-tool nodejs,O2前端流程工具
1154,weixinbao/ReverseTool,https://github.com/weixinbao/ReverseTool,991,196,2019-04-05,2019-04-05,,A,9,CN,,逆向工具集合
1155,fangshufeng/MachOView,https://github.com/fangshufeng/MachOView,1045,206,2018-11-14,2019-09-24,Objective-C,A,9,CN,,分析Macho必备工具
1156,kallydev/privacy,https://github.com/kallydev/privacy,1055,1011,2020-11-26,2022-02-21,,A,9,CN,privacy,个人隐私泄露检测工具。
1157,sml2h3/dddd_trainer,https://github.com/sml2h3/dddd_trainer,1059,407,2022-01-25,2025-03-06,Python,A,9,CN,ddddocr,ddddocr训练工具
1158,ctf-wiki/ctf-tools,https://github.com/ctf-wiki/ctf-tools,1183,171,2017-06-04,2022-08-10,Shell,A,9,CN,crypto ctf misc mobile pwn reverse tool web,CTF 工具集合
1159,mrknow001/aliyun-accesskey-Tools,https://github.com/mrknow001/aliyun-accesskey-Tools,1231,174,2020-12-20,2022-04-08,Python,A,9,CN,,阿里云accesskey利用工具
1160,Jack-Liang/kalitools,https://github.com/Jack-Liang/kalitools,1273,305,2017-03-01,2020-12-07,,A,9,CN,infogathering kali linux penetration wireless,Kali Linux工具清单
1161,yzddmr6/webshell-venom,https://github.com/yzddmr6/webshell-venom,1277,397,2019-04-30,2020-04-03,,A,9,CN,,免杀webshell无限生成工具
1162,GavinCT/AndroidMultiChannelBuildTool,https://github.com/GavinCT/AndroidMultiChannelBuildTool,1328,359,2014-12-08,2018-01-10,Java,A,9,CN,,安卓多渠道打包工具
1163,mcxiaoke/gradle-packer-plugin,https://github.com/mcxiaoke/gradle-packer-plugin,1346,277,2014-12-09,2019-01-23,Groovy,A,9,CN,,Android渠道打包工具
1164,mengxianliang/XLUIKit,https://github.com/mengxianliang/XLUIKit,1360,307,2017-05-16,2024-01-16,,A,9,CN,,iOS UI工具集
1165,android-notes/SwissArmyKnife,https://github.com/android-notes/SwissArmyKnife,1367,230,2016-11-30,2025-08-28,Java,A,9,CN,android debug tools ui,android ui调试工具
1166,ClownQq/YDArk,https://github.com/ClownQq/YDArk,1375,228,2019-10-08,2024-01-18,,A,9,CN,pchunter win64ast,X64内核小工具
1167,fex-team/kityminder-core,https://github.com/fex-team/kityminder-core,1378,555,2014-10-29,2024-03-04,JavaScript,A,9,CN,,强大的脑图可视化工具
1168,lan-tianxiang/JS_TOOL,https://github.com/lan-tianxiang/JS_TOOL,1403,383,2021-04-10,2021-09-06,JavaScript,A,9,CN,,Node网页开发工具
1169,Entromorgan/Autoticket,https://github.com/Entromorgan/Autoticket,1451,305,2019-08-07,2020-07-30,Python,A,9,CN,,大麦网自动抢票工具
1170,aoaostar/toolbox,https://github.com/aoaostar/toolbox,1502,319,2021-12-21,2023-09-22,PHP,A,9,CN,php tool toolbox,🚀傲星工具箱，一个在线工具箱
1171,jayZheng87/Thusy,https://github.com/jayZheng87/Thusy,1508,862,2019-09-07,2022-11-16,Java,A,9,CN,,Java 工具类库；在全面集成 Hutool 上进行工具类二次收集的一个类库
1172,dstmath/frida-unpack,https://github.com/dstmath/frida-unpack,1617,337,2018-07-05,2025-06-11,Python,A,9,CN,,基于Frida的脱壳工具
1173,wenmingvs/NotifyUtil,https://github.com/wenmingvs/NotifyUtil,1663,337,2016-01-11,2022-09-09,Java,A,9,CN,,通知工具类
1174,bughandler/cnki-downloader,https://github.com/bughandler/cnki-downloader,1764,428,2016-05-11,2025-12-09,,A,9,CN,cnki downloader,知网(CNKI)文献下载工具
1175,miyuesc/bpmn-process-designer,https://github.com/miyuesc/bpmn-process-designer,1797,490,2020-12-04,2025-08-21,TypeScript,A,9,CN,bpmn bpmn-js demo process vue vuejs,bpmn-js 工具库
1176,White-hua/Apt_t00ls,https://github.com/White-hua/Apt_t00ls,1828,245,2022-10-02,2025-02-12,Java,A,9,CN,,高危漏洞利用工具
1177,zsh2401/AutumnBox,https://github.com/zsh2401/AutumnBox,1931,228,2017-07-30,2024-06-14,C#,A,9,CN,,图形化ADB工具箱
1178,klaus01/KLGenerateSpamCode,https://github.com/klaus01/KLGenerateSpamCode,1982,540,2017-08-04,2020-01-10,Objective-C,A,9,CN,,iOS 马甲应用工具
1179,dqzg12300/fridaUiTools,https://github.com/dqzg12300/fridaUiTools,2013,430,2021-06-01,2026-05-18,Python,A,9,CN,,frida工具的缝合怪
1180,killgcd/chromego,https://github.com/killgcd/chromego,2158,673,2018-07-18,2020-04-06,Rich Text Format,A,9,CN,,ChromeGo 翻墙工具包
1181,we-plugin/we-cropper,https://github.com/we-plugin/we-cropper,2202,446,2017-01-12,2023-03-23,JavaScript,A,9,CN,canvas cropper mpvue mpvue-cropper mpvue-examples weapp wechat wepy wxapp wxcrop,微信小程序图片裁剪工具
1182,o-gs/dji-firmware-tools,https://github.com/o-gs/dji-firmware-tools,2214,518,2016-08-03,2026-07-21,C,A,9,MOD,ambarella dji elf firmware inspire mavic modding phantom reverse-engineering spa,"Tools for handling firmwares of DJI products, with focus on quadcopters."
1183,HatBoy/Struts2-Scan,https://github.com/HatBoy/Struts2-Scan,2218,471,2018-07-12,2021-07-12,Python,A,9,CN,,Struts2全漏洞扫描利用工具
1184,864381832/xJavaFxTool,https://github.com/864381832/xJavaFxTool,2237,561,2017-08-27,2025-11-24,Java,A,9,CN,java javafx jfoenix tools,基于JavaFx搭建的实用小工具集合，方便开发过程中的代码编写与调试，想学习javaFx的同学可以参考参考。其中包括文件复制、Cron表达式生成器、编码转换、加密解密、Time转换、路径转换、二维码生成工具、身份证生成器、正则表达式生成工具、网址缩短、转义字符、字符串转换、Mq调试工具、Http调试工具、json格式化编辑工具、图标生成工具、Redis连接工具、网页源码下载工具、切换Hosts工具、Ftp服务器、Cmd调试工具、Ftp/
1185,CN-Chrome-DevTools/CN-Chrome-DevTools,https://github.com/CN-Chrome-DevTools/CN-Chrome-DevTools,2358,508,2014-03-09,2021-05-16,,A,9,CN,,Chrome开发者工具中文手册
1186,proYang/outils,https://github.com/proYang/outils,2607,576,2017-11-07,2022-12-06,JavaScript,A,9,CN,javascript tool utils,:rocket: 前端业务代码工具库
1187,1y0n/AV_Evasion_Tool,https://github.com/1y0n/AV_Evasion_Tool,2763,396,2020-04-24,2025-08-18,C#,A,9,CN,,掩日 - 免杀执行器生成工具
1188,AbrahamCaiJin/CommonUtilLibrary,https://github.com/AbrahamCaiJin/CommonUtilLibrary,2828,793,2017-04-28,2025-08-18,Java,A,9,CN,,快速开发工具类收集，史上最全的开发工具类，欢迎Follow、Fork、Star
1189,Accelerider/BaiduPanDownloadWinform,https://github.com/Accelerider/BaiduPanDownloadWinform,2945,534,2016-10-06,2021-01-29,C#,A,9,CN,,百度网盘不限速下载工具
1190,hamibot/hamibot,https://github.com/hamibot/hamibot,3111,532,2020-11-30,2023-11-01,Java,A,9,CN,android autojs automation hamibot,安卓平台自动化工具，无需 root。
1191,bighuang624/AI-research-tools,https://github.com/bighuang624/AI-research-tools,3447,406,2019-04-12,2024-06-10,,A,9,CN,research-tool tools,:hammer:AI 方向好用的科研工具
1192,raullenchai/Rapid-MLX,https://github.com/raullenchai/Rapid-MLX,3765,415,2026-02-25,2026-09-17,Python,A,9,AN,apple-silicon claude-code cursor deepseek fastapi hacktoberfest inference llm lo,"The fastest local AI engine for Apple Silicon. 4.2x faster than Ollama, 0.08s cached TTFT, 100% tool calling. 17 tool parsers, prompt cache, reasoning separation, cloud routing. Drop-in OpenAI replacement. Works with Cla"
1193,oldmanpushcart/greys-anatomy,https://github.com/oldmanpushcart/greys-anatomy,4003,1183,2012-11-21,2022-10-25,Java,A,9,CN,diagnosis greys jvmti troubleshooting,Java诊断工具
1194,0x727/ShuiZe_0x727,https://github.com/0x727/ShuiZe_0x727,4023,585,2021-07-28,2024-06-13,Python,A,9,CN,,信息收集自动化工具
1195,wux1an/wxapkg,https://github.com/wux1an/wxapkg,4128,837,2023-05-22,2026-04-28,Vue,A,9,CN,decompile decrypt reverse-engineering wechat wechat-app wechat-mini-program wexi,跨平台微信小程序反编译 GUI 工具，.wxapkg 文件扫描 + 解密 + 解包工具
1196,Ice-Hazymoon/MikuTools,https://github.com/Ice-Hazymoon/MikuTools,4413,712,2019-03-01,2024-11-05,JavaScript,A,9,CN,mikutools tools,一个轻量的工具集合
1197,me115/linuxtools_rst,https://github.com/me115/linuxtools_rst,6001,1429,2014-08-12,2022-11-17,HTML,A,9,CN,,Linux工具快速教程
1198,k8gege/K8tools,https://github.com/k8gege/K8tools,6215,2053,2019-02-23,2025-01-25,PowerShell,A,9,CN,0day brute-force bypass crack database exp exploit getshell hacking lpe netscan ,K8工具合集(内网渗透/提权工具/远程溢出/漏洞利用/扫描工具/密码破解/免杀工具/Exploit/APT/0day/Shellcode/Payload/priviledge/BypassUAC/OverFlow/WebShell/PenTest) Web GetShell Exploit(Struts2/Zimbra/Weblogic/Tomcat/Apache/Jboss/DotNetNuke/zabbix)
1199,Momo707577045/m3u8-downloader,https://github.com/Momo707577045/m3u8-downloader,7081,1276,2020-02-26,2025-04-22,JavaScript,A,9,CN,blob m3u8,m3u8 视频在线提取工具
1200,fuck-xuexiqiangguo/Fuck-XueXiQiangGuo,https://github.com/fuck-xuexiqiangguo/Fuck-XueXiQiangGuo,8328,1685,2019-02-21,2021-07-12,,A,9,CN,,学习强国 懒人刷分工具 自动学习
1201,NAStool/nas-tools,https://github.com/NAStool/nas-tools,9019,1727,2021-08-04,2023-05-16,,A,9,CN,nas python,NAS媒体库管理工具
1202,m3y54m/Embedded-Engineering-Roadmap,https://github.com/m3y54m/Embedded-Engineering-Roadmap,13188,1301,2023-07-25,2026-07-23,,A,9,VBIOS,electronics electronics-engineering embedded embedded-developer embedded-enginee,"Comprehensive roadmap for aspiring Embedded Systems Engineers, featuring a curated list of learning resources"
1203,ifixai-ai/iFixAi,https://github.com/ifixai-ai/iFixAi,15200,1330,2026-04-27,2026-09-16,Python,A,9,AN,agent-evaluation ai ai-alignment ai-evaluation ai-governance ai-safety cli diagn,"Independent Auditing of AI Agents. Run by human or the agent itself, to answer the most crucial question in the AI Agent Economy. Is the agent doing what is supposed to do? With iFixAi you can have this answer in less th"
1204,DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,22270,1944,2022-03-16,2026-09-16,C,A,9,MOD,alternative-firmware cfw custom custom-firmware darkflippers firmware flipper fl,Flipper Zero Unleashed Firmware
1205,proxyee-down-org/proxyee-down,https://github.com/proxyee-down-org/proxyee-down,24657,4333,2017-10-25,2024-07-16,Java,A,9,CN,,http下载工具，基于http代理，支持多连接分块下载
1206,alibaba/easyexcel,https://github.com/alibaba/easyexcel,33636,7546,2018-02-06,2024-10-29,Java,A,9,CN,excel java jxl oom poi xls xlsx,快速、简洁、解决大文件内存溢出的java处理Excel工具
1207,ruvnet/RuView,https://github.com/ruvnet/RuView,94406,12477,2025-06-07,2026-09-17,Rust,A,9,AN,awesome claude densepose esp32 firmware home-assistant home-automation iot monit,"π RuView turns commodity WiFi signals into real-time spatial intelligence, vital sign monitoring, and presence detection — all without a single pixel of video."
1208,henrytung88/SnakePkg,https://github.com/henrytung88/SnakePkg,0,0,2023-09-01,2026-09-15,C,A,8,TOOL,bios edk edk-ii edk2 edkii efi game games snake uefi,🐍 Create a classic Snake game as a UEFI Application to explore EDK2 and UEFI development while having fun.
1209,flathub/com.github.LongSoft.UEFITool,https://github.com/flathub/com.github.LongSoft.UEFITool,0,1,2022-09-25,2026-07-10,,A,8,TOOL,,
1210,lucasmz1/UEFITool_AppImage,https://github.com/lucasmz1/UEFITool_AppImage,1,1,2024-11-19,2026-09-05,,A,8,TOOL,appimage,"UEFITool is a cross-platform open source application written in C++/Qt, that parses UEFI-compatible firmware image into a tree structure, verifies image's integrity and provides a GUI to manipulate image's elements. Proj"
1211,sudharshinimurugesan/D4rk_Intel-OSINT-Investigative-Toolkit,https://github.com/sudharshinimurugesan/D4rk_Intel-OSINT-Investigative-Toolkit,2,1,2024-04-13,2026-09-16,,A,8,TOOL,clion datagrip edk2 go intellij-community intellij-idea intellij-platform java k,🕵️♂️ Streamline OSINT investigations with this toolkit of scripts and resources for gathering and analyzing public information effectively.
1212,andreassommer/mmtools,https://github.com/andreassommer/mmtools,2,0,2022-05-17,2026-09-07,MATLAB,A,8,TOOL,,Miscellaneous Matlab Tools
1213,vizPilot/edk2-goyavewifi,https://github.com/vizPilot/edk2-goyavewifi,5,2,2024-06-21,2026-09-14,C,A,8,TOOL,edk2 samsung-sc8830 sc8830 sprd uefi woa4sprd,EDK2 for Samsung Galaxy Tab E 7.0 (SM-T113NU/SM-T116BU)
1214,ljQAQ233/textos-dev,https://github.com/ljQAQ233/textos-dev,6,0,2023-05-01,2026-09-13,C,A,8,TOOL,c edk2 operating-system os uefi uefi-boot,An opeating system booted via UEFI.
1215,cipig/mmtools,https://github.com/cipig/mmtools,13,9,2018-07-20,2026-07-31,Perl,A,8,TOOL,,
1216,Dasharo/edk2,https://github.com/Dasharo/edk2,20,12,2020-11-26,2026-09-16,C,A,8,TOOL,bios dasharo uefi,EDK II component of Dasharo
1217,9elements/firmware-action,https://github.com/9elements/firmware-action,22,1,2023-01-26,2026-09-15,Go,A,8,TOOL,bios build-system build-tool coreboot edk2 firmware firmware-development firmwar,"Build system for open source firmware (coreboot, linux, EDK2, ...) with unified builds across development and CI environments."
1218,Thrilleratplay/coreboot-builder-scripts,https://github.com/Thrilleratplay/coreboot-builder-scripts,53,12,2018-05-28,2026-06-30,Shell,A,8,TOOL,bash coreboot docker edk2 lenovo m720q m920q seabios t430 thinkpad w530 w541 x22,Bash scripts and config files to simplify building of Coreboot using the official coreboot-sdk docker image
1219,retrage/edk2-nightly,https://github.com/retrage/edk2-nightly,87,6,2019-08-10,2026-09-16,Dockerfile,A,8,TOOL,edk2 efi nightly-build ovmf qemu uefi uefi-shell unofficial,Unofficial EDK2 nightly build
1220,pbatard/Mosby,https://github.com/pbatard/Mosby,269,20,2024-06-21,2026-09-08,C,A,8,TOOL,arm64 edk2 ia32 secure-boot secureboot uefi uefi-secureboot uefi-shell x64,Mosby – More Secure Secure Boot
1221,pftf/RPi3,https://github.com/pftf/RPi3,317,35,2019-07-19,2026-09-01,,A,8,TOOL,edk2 edk2-platforms firmware firmware-updates raspberry-pi raspberry-pi-3 uefi u,Raspberry Pi 3 UEFI Firmware Images
1222,linux-msm/qdl,https://github.com/linux-msm/qdl,418,160,2019-01-08,2026-09-11,C,A,8,TOOL,bootloader command-line device-recovery edl embedded firehose firmware flashing ,Command-line tool for flashing firmware on Qualcomm-based devices via USB Emergency Download (EDL) mode
1223,ghzserg/zmod,https://github.com/ghzserg/zmod,432,53,2024-11-25,2026-09-16,Python,A,8,TOOL,ad5m ad5mpro ad5x creator5 creator5pro firmware flashforge,Adventurer 5M / 5M Pro / AD5X / Creator 5 Pro Z-Mod
1224,XiaomiFirmwareUpdater/mi-firmware-updater,https://github.com/XiaomiFirmwareUpdater/mi-firmware-updater,458,47,2018-01-18,2026-09-16,Python,A,8,TOOL,firmware hyperos miui xiaomi,Auto generates Xiaomi firmware flashable zip files every MIUI new update
1225,bensuperpc/rtl9210,https://github.com/bensuperpc/rtl9210,566,63,2024-06-30,2026-07-25,Python,A,8,TOOL,converter dump enclosure firmware flash microcode nvme pcie realtek realtek-firm,"All RTL9210(A/B) firmwares, tools, dump ect..."
1226,ClickHouse/ClickBench,https://github.com/ClickHouse/ClickBench,1107,312,2022-07-11,2026-09-17,Shell,A,8,TOOL,analytics aws benchmark big-data bigquery chdb clickhouse databases datafusion d,ClickBench: a Benchmark For Analytical Databases
1227,platformio/platform-espressif32,https://github.com/platformio/platform-espressif32,1196,840,2016-10-21,2026-09-11,Python,A,8,TOOL,arduino arduino-ide build continuous-deployment continuous-integration esp32 fir,Espressif 32: development platform for PlatformIO
1228,pftf/RPi4,https://github.com/pftf/RPi4,1405,169,2019-11-27,2026-08-31,,A,8,TOOL,edk2 edk2-platforms firmware firmware-updates raspberry-pi raspberry-pi-4 uefi u,Raspberry Pi 4 UEFI Firmware Images
1229,LongSoft/UEFITool,https://github.com/LongSoft/UEFITool,5675,750,2013-10-08,2026-07-29,C,A,8,TOOL,,UEFI firmware image viewer and editor
1230,tianocore/edk2,https://github.com/tianocore/edk2,6252,3283,2011-04-14,2026-09-16,C,A,8,TOOL,c firmware python uefi,EDK II
1231,Ralim/IronOS,https://github.com/Ralim/IronOS,8356,834,2016-09-13,2026-09-10,C,A,8,TOOL,alternate firmware flash hex iron miniware pine64 pinecil soldering soldering-ir,Open Source Soldering Iron firmware
1232,CharlesRepository/vbios,https://github.com/CharlesRepository/vbios,0,0,2024-04-03,2024-04-03,C,B,7,VBIOS,,vbios
1233,raka-infantri/IPG3RTX3060TGP,https://github.com/raka-infantri/IPG3RTX3060TGP,0,0,2022-09-11,2022-09-11,,B,7,VBIOS,,tools untuk flash vbios Ideapad Gaming 3 RTX3060
1234,AvieDv/Nvidia_Maxwell-Pascal_vBios,https://github.com/AvieDv/Nvidia_Maxwell-Pascal_vBios,0,0,2023-05-30,2024-01-11,,B,7,VBIOS,,ROMS para chip vBios en Nvidia Maxwell/Pascal
1235,nitinkmr333/GPU-VBIOS,https://github.com/nitinkmr333/GPU-VBIOS,0,0,2021-08-08,2021-08-08,,B,7,VBIOS,,Contains original and modded VBIOS of graphics cards
1236,AMDerBosscoPeng/VBIOS_,https://github.com/AMDerBosscoPeng/VBIOS_,0,0,2018-10-22,2018-10-22,,B,7,VBIOS,,
1237,AMDerBosscoPeng/VBIOS,https://github.com/AMDerBosscoPeng/VBIOS,0,0,2018-10-22,2018-10-22,,B,7,VBIOS,,
1238,MQ-HZY-For-Cute/amdvbflash,https://github.com/MQ-HZY-For-Cute/amdvbflash,0,0,2023-08-27,2023-08-27,,B,7,VBIOS,,This is AMD's dedicated graphics card vbios burning tool.(Unofficial)
1239,scottstuff/VBiOSApp,https://github.com/scottstuff/VBiOSApp,0,0,2015-08-13,2015-08-13,Swift,B,7,VBIOS,,Volleyball tracking iOS App
1240,zephyrwc3/amd_7950x_raphael_vbios,https://github.com/zephyrwc3/amd_7950x_raphael_vbios,0,0,2023-06-27,2023-06-29,,B,7,VBIOS,,
1241,kurakanai/RX-5600-XT-XFX-THICC-III-Pro-vBIOS,https://github.com/kurakanai/RX-5600-XT-XFX-THICC-III-Pro-vBIOS,0,0,2021-01-09,2021-02-17,,B,7,VBIOS,,
1242,sampla-git/nvflash,https://github.com/sampla-git/nvflash,0,0,2020-09-07,2020-09-07,,B,7,VBIOS,,
1243,jasii/nvflash,https://github.com/jasii/nvflash,0,0,2021-12-12,2021-12-12,,B,7,VBIOS,,
1244,yogajangkung/nvflash,https://github.com/yogajangkung/nvflash,0,0,2022-04-03,2022-04-04,,B,7,VBIOS,,
1245,DMHYT/NoNVFlashingBE,https://github.com/DMHYT/NoNVFlashingBE,0,0,2021-09-05,2021-10-31,Python,B,7,VBIOS,,
1246,DillionMartin/nvflash-flake,https://github.com/DillionMartin/nvflash-flake,0,0,2024-04-26,2024-04-26,Nix,B,7,VBIOS,,
